type,key,layout_side,layout_order,start_year,end_year,justice_tier,name,reign_info,title_tag,father,female_info,prophet,summary
data,,left,4,885,885,evil,5. 心利,7日,閃電篡位僅7天,管理一半戰車長官,,,,,率戰車的一半兵力在得撒叛變刺殺以拉自立；以色列軍民隨即擁立暗利反攻並圍城，心利絕望放火自焚於王宮內結束短命政權。〔王上16〕
data,,left,5,885,874,bad,6. 暗利,12年,軍閥奪權惡過前人,軍長/資深統帥,,,內戰擊敗對手提比尼登基；買下撒瑪利亞山建立堅固新首都撒瑪利亞，行惡比前王更甚，奠定強悍軍閥統治。〔王上16〕
data,,left,6,874,853,evil,7. 亞哈,22年,引進巴力崇拜極惡,暗利,妻：耶洗別(西頓王謁巴力之女),以利亞,娶西頓王之女耶洗別使拜巴力合法化；迦密山大賽火燒祭壇；因貪奪拿伯葡萄園遭審判；基列拉末戰役中箭身亡。〔王上16-22; 代下18〕
data,,left,7,853,852,evil,8. 亞哈謝,2年,隨從父母拜巴力,亞哈,母親：耶洗別(西頓王謁巴力之女),,宮中格子欄跌傷求問巴力西卜，以利亞從天降火宣告其必死，病發無子而亡。〔王上22; 王下1〕
data,,left,8,852,841,bad,9. 約蘭,12年,除巴力柱仍拜金牛,亞哈,母親：耶洗別(西頓王謁巴力之女),以利沙,經歷以利沙多次神蹟；與猶大約沙法聯手打摩押；後在耶斯列養傷，遭耶戶叛箭射殺。〔王下3, 8-9〕
data,,left,9,841,814,good,10. 耶戶,28年,血洗亞哈家立大功,寧示,,以利沙,奉神命肅清亞哈王室與巴力先知，改巴力廟為廁所；雖激進執行神旨意，但自身仍未離棄金牛犢。〔王下9-10; 代下22〕
data,,left,10,814,798,bad,11. 約哈斯,17年,遭亞蘭欺壓窘敗,耶戶,,,國力衰弱，遭亞蘭王哈薛與便哈達欺壓至僅剩極少兵力；哀求耶和華，神垂聽並賜拯救者脫困。〔王下13〕
data,,left,11,798,782,bad,12. 約阿施,16年,行惡但三勝亞蘭,約哈斯,,以利沙,探病臨終以利沙並按意擊地三下，應驗三勝亞蘭；曾南下攻破猶大耶路撒冷並劫掠聖殿。〔王下13; 代下25〕
data,,left,12,782,753,special,13. 耶羅波安二世,41年,收復失土國力極盛,約阿施,,阿摩司/何西阿,依約拿預言恢復以色列北方邊界；經濟空前繁榮，但社會道德極度腐敗、欺壓貧寒。〔王下14; 摩1-7; 何1-4〕
data,,left,13,753,753,evil,14. 撒迦利亞,6個月,行惡被叛殺絕嗣,耶羅波安二世,,,在百姓面前被沙龍公開刺殺，應驗神曾向耶戶應許「子孫坐位直到四代」的預言終結。〔王下15〕
data,,left,14,752,752,evil,15. 沙龍,1個月,篡位一月被擊殺,雅比,,,篡位僅一個月，即被從得撒上來的米拿現攻入撒瑪利亞王宮擊殺，政權極其短命。〔王下15〕
data,,left,15,752,742,bad,16. 米拿現,10年,殘暴向亞述進貢,迦底,,,攻打提弗薩殘忍剖開孕婦；向亞述王普勒進貢千他連得銀子以換取亞述扶持其王位。〔王下15〕
data,,left,16,742,740,evil,17. 比加轄,2年,行惡遭政變殺害,米拿現,,,在撒瑪利亞王宮中，被將領利瑪利的兒子比加率領五十人謀殺篡位。〔王下15〕
data,,left,17,740,732,bad,18. 比加,20年,聯亞蘭對抗亞述失利,利瑪利,,,與亞蘭結盟攻猶大失敗；引來亞述王提革拉毗列薩大規模入侵，北方大片領土淪陷。〔王下15-16; 代下28; 賽7〕
data,,left,18,732,722,collapse,19. 何細亞,9年,末代背叛亞述亡國,i拉,,,💀 北國滅亡：聯合埃及暗中背叛亞述；遭亞述王撒縵以色圍城三年，撒瑪利亞淪陷，以色列人被擄異鄉。〔王下17〕
data,,right,3,930,913,bad,4. 羅波安,17年,剛愎自用國勢衰弱,所羅門,母親：拿瑪(亞們人女子的王后),示瑪雅,年四十一歲登基；因拒絕老臣建議導致王國分裂；先知示瑪雅預言阻內戰；第五年遭埃及王示撒掠奪聖殿財寶。〔王上12, 14; 代下10-12〕
data,,right,4,913,911,bad,5. 亞比央,3年,步父後塵靠神大勝,羅波安,母親：瑪迦(押沙龍的女兒),,登基年齡未記；在洗瑪音山面臨百萬敵軍時，因呼求神而大敗耶羅波安，斬敵五十萬。〔王上15; 代下13〕
data,,right,5,911,870,good,6. ⭐ 亞撒,41年,行善大革新除偶像,亞比央,祖母：瑪迦(押沙龍的女兒),亞撒利雅/哈拿尼,廢祖母瑪迦太后並燒毀偶像；大敗古實王謝拉百萬大軍；晚年腳患病僅求醫生未求問神。〔王上15; 代下14-16〕
data,,right,6,870,848,good,7. ⭐ 約沙法,25年,效法大衛教導律法,亞撒,母親：阿蘇巴(示利希的女兒),耶戶,年三十五歲登基；差利未人全國教導律法；組建詩班讚美隊不費刀兵大勝摩押與亞捫聯軍。〔王上22; 代下17-20〕
data,,right,7,848,841,bad,8. 約蘭,8年,娶亞哈女行惡屠弟,約沙法,妻:亞她利雅(北國亞哈與耶洗別之女),以利亞,年三十二歲登基；因娶北國亞哈之女亞她利雅陷入拜偶像，殺盡諸弟；以利亞信函預言其腸病痛苦死亡。〔王下8; 代下21〕
data,,right,8,841,841,bad,9. 亞哈謝,1年,隨從亞哈家惡行,約蘭,母親：亞她利雅(北國亞哈與耶洗別之女),,年二十二歲登基；隨從母系亞哈家族惡行；探視受傷的北國約蘭時，遭耶戶奉神命追殺身亡。〔王下8-9; 代下22〕
data,,right,9,841,835,evil,10. 亞她利雅,女王6年,血腥篡位滅絕王室,北國亞哈之女(母為耶洗別),,,亞她利雅死後直接篡位自立為女王；血腥屠殺大衛王室企圖滅絕血脈；後於馬門被處決。〔王下11; 代下22-23〕
data,,right,10,835,796,good,11. 約阿施,40年,早年行善修殿晚年背道,亞哈謝,母親：西比亞(別是巴人),撒迦利亞(祭司耶何耶大之子),年七歲登基；大舉奉獻修繕聖殿；晚年背道下令用石頭打死祭司之子撒迦利亞，後被臣下謀殺。〔王下11-12; 代下24〕
data,,right,11,796,767,bad,12. 亞瑪謝,29年,心不專誠拜以東偶像,約阿施,母親：約耶坦(耶路撒冷人),,年二十五歲登基；擊敗以東卻反拜以東神像；挑戰北國約阿施慘敗，耶路撒冷城牆被拆毀百餘尺。〔王下14; 代下25〕
data,,right,12,767,740,good,13. ⭐ 烏西雅,52年,強盛發明戰具,亞瑪謝,母親：耶可利雅(耶路撒冷人),以賽亞/何西阿,年十六歲登基；築城牆、發明強大機械；因擅入聖殿香壇燒香，額上當場長大麻瘋，終身隔離。〔王下15; 代下26; 賽6〕
data,,right,13,740,732,good,14. ⭐ 約坦,16年,行正道日漸強盛,烏西雅,母親：耶魯沙(撒督的女兒),彌迦/以賽亞,年二十五歲登基；建立耶和華殿的上門；築亞們山城的牆與城堡，擊敗亞捫人使其納貢，國力日漸強盛。〔王下15; 代下27; 彌1; 賽1〕
data,,right,14,732,716,bad,15. 亞哈斯,16年,焚燒親子獻祭求救亞述,約坦,母親：亞比(撒迦利亞的女兒),以賽亞/彌迦,年二十歲登基；仿異教將兒子經火焚燒；改造聖殿格局並向亞述稱臣求救，致國力陷入極度屈辱。〔王下16; 代下28; 賽7〕
data,,right,15,716,687,good,16. ⭐ 希西家,29年,極大復興神蹟拯救,亞哈斯,母親：亞比(撒迦利亞的女兒),以賽亞/彌迦,年二十五歲登基；潔淨聖殿、守逾越節、砸銅蛇；挖西羅亞引水隧道；切實禱告令亞述大軍一夜潰敗。〔王下18-20; 代下29-32; 賽36-39〕
data,,right,16,687,642,evil,17. 瑪拿西,55年,極邪惡流無辜血後悔改,希西家,母親：希弗巴,,年十二歲登基；作惡極端流無辜血；被亞述鐵鍊鎖往巴比倫後痛悔蒙赦免，回國後大力潔淨聖殿。〔王下21; 代下33〕
data,,right,17,642,640,bad,18. 亞們,2年,行惡不改遭刺殺,瑪拿西,母親：米舒利密(約巴拿哈斯之女哈魯特人),西番雅/耶利米,年二十二歲登基；未效法父親晚期悔改，加倍犯罪祭拜偶像，僅執政兩年內即被宮臣聯手刺殺。〔王下21; 代下33〕
data,,right,18,640,609,good,19. ⭐ 約西亞,31年,8歲即位全面大改革,亞們,母親：耶底大(拔疊人亞大雅的女兒),耶利米等,年八歲登基；修理聖殿尋獲律法書引發全國大革新；米吉多戰場盲目攔阻埃及尼哥不幸陣亡。〔王下22-23; 代下34-35; 耶1〕
data,,right,19,609,609,bad,20. 約哈斯,3個月,行惡被廢黜流亡,約西亞,母親：哈慕達(立拿人耶利米的女兒),耶利米,年二十三歲登基；登基僅三個月即遭埃及法老尼哥廢黜鎖禁，罰巨額罰金並解送到埃及客死他鄉。〔王下23; 代下36; 耶22〕
data,,right,20,609,598,bad,21. 約雅敬,11年,暴虐焚燒先知書卷,約西亞,母親：西烏達(魯瑪人毗大雅的女兒),耶利米,年二十五歲登基；親手割破並火燒耶利米神聖書卷；遭巴比倫尼布甲尼撒捆鎖並掠奪聖殿器皿。〔王下23-24; 代下36; 耶36〕
data,,right,21,597,597,evil,22. 約雅斤,3個月,行惡投降被擄,約雅敬,母親：尼護施達(耶路撒冷人以利拿坦的女兒),耶利米/以西結,年十八歲登基；向巴比倫王投降後，聖殿與王宮所有財寶及金器全被運往巴比倫，本人長年囚禁。〔王下24; 代下36; 結1〕
data,,right,22,597,586,collapse,23. 西底家,11年,末代行惡不聽勸告,約西亞,母親：哈慕達(立拿人耶利米的女兒),耶利米/以西結,年二十一歲登基；背叛巴比倫引致慘烈圍城；城破逃跑被獲，眼見眾子被殺後被挖雙眼鎖往巴比倫。〔王下24-25; 代下36; 耶39, 52; 結12〕
data,,right,23,586,586,collapse,24. 亡國與被擄時期,586 BC,聖殿被毀南國滅亡,,,耶利米等,尼布撒拉旦率軍徹底焚燒聖殿與城牆，器皿砸碎運走，百姓被擄至巴比倫，大衛王朝正式中斷。〔王下25; 代下36; 耶52〕
